年,週,分區,區累積雨量,區平均雨量,區雨量標準差,區雨量最大值,區雨量最小值,區雨量全距,日溫度標準差,日最高溫度,日最低溫度,日溫差,週溫度標準差,區週平均溫度,區週均溫1-5,區週均溫6-9,區週均溫10-13,區週均溫14-17,區週均溫18-24,區週溫度標準差,平均RH,平均風速,最大風速
2007,1,中區,38.0,1.5833333333333333,2.3963135939562896,8.0,0.0,8.0,1.6783786489534809,26.88,10.12,12.25,1.4827925699068845,17.593460441468252,16.778583333333337,16.512265625,19.119505208333333,19.74432291666667,16.692251275510205,1.4436115077318767,70.731875,3.8889576480263153,13.76
2007,1,北區,299.4,12.475,11.816394285611981,45.2,0.0,45.2,0.9911215799974039,26.02,7.64,8.41,0.6005993375195203,15.955425347222222,15.869312500000001,15.492816220238094,16.578095238095237,16.742604166666666,15.47565476190476,0.5772972612172914,73.65378180686061,3.964434027777777,10.33
2007,1,南區,46.400000000000006,1.9333333333333336,4.299915738978944,20.0,0.0,20.0,1.988147600797552,26.68,10.38,9.059999999999999,1.873214353338974,18.236864252645503,17.0294880952381,16.87668650793651,19.820798611111112,21.273397817460314,17.23625283446712,1.8636973021287784,71.04951388888888,2.744078638497653,7.58
2007,1,台北區,1119.4,46.64166666666667,46.685440581822085,179.6,4.2,175.4,0.920460072756725,25.52,2.77,9.279999999999998,0.544900960471265,15.964807841614908,15.967902173913041,15.554619565217392,16.57673913043478,16.558301630434784,15.508176574977819,0.5132282326618035,74.16802597402597,2.518137252281152,11.48
2007,1,東區,7.6,0.31666666666666665,0.5305179312354286,1.8,0.0,1.8,1.454373191137906,28.79,11.41,11.7,1.1998184991179135,19.23113425925926,18.3855,18.201919642857145,20.901398809523812,20.486597222222223,18.751437074829933,1.1735634936740578,74.95227320761968,2.2995012626262628,5.94
2007,1,高屏區,1.4,0.05833333333333333,0.17173454405910424,0.8,0.0,0.8,2.103685796786112,29.83,11.96,11.29,2.0045658712733205,20.195060453869047,18.544140625,18.348945312499996,21.592494419642854,23.318981584821426,19.845580357142858,1.9812148546617445,70.3745610082431,2.8042327960958002,13.23
2007,2,中區,1.0,0.041666666666666664,0.11764599317505432,0.4,0.0,0.4,2.378583752658595,26.16,9.24,12.569999999999999,2.2717364171025487,17.45013392857143,15.265928571428574,15.228363095238095,19.583660714285713,20.624791666666667,17.2466156462585,2.2460197136307958,70.28917658730158,3.515367063492064,13.19
2007,2,北區,6.800000000000001,0.2833333333333334,0.6458339177182958,3.0000000000000004,0.0,3.0000000000000004,1.3697166052420693,25.65,8.61,9.899999999999999,1.1810550738806047,16.29356068121693,15.068460317460318,15.210510912698414,17.50859126984127,17.857103174603175,16.199761904761907,1.167467825294851,72.55917951713941,3.9875460771658062,10.31
2007,2,南區,0.0,0.0,0.0,0.0,0.0,0.0,2.6773614149257368,26.36,10.44,11.410000000000002,2.5917560990780917,17.826296516754848,15.458899470899471,15.242162698412699,20.02402777777778,21.701792328042327,17.523526832955405,2.5810105519749356,71.63544178914883,2.4602664931211335,6.5
2007,2,台北區,255.3,10.637500000000001,6.387679207049608,25.300000000000004,2.2,23.100000000000005,1.1225586174599638,25.8,2.63,11.14,0.8984614854163702,16.053477355072463,15.035388198757763,15.288149585921326,16.93337215320911,17.194249999999997,16.063346938775513,0.8706560170689155,73.52089125233425,2.636669501133787,13.48
2007,2,東區,8.0,0.3333333333333333,0.8270779715446982,3.0,0.0,3.0,1.8728916137044642,26.84,12.4,12.74,1.7540851605508383,18.72659722222222,16.91809523809524,16.899642857142858,20.563630952380954,20.890714285714285,18.775986394557826,1.74225989817562,72.89689980158731,2.1829642857142857,4.87
2007,2,高屏區,0.4,0.016666666666666666,0.056465970257327996,0.2,0.0,0.2,2.628211720865966,26.87,11.11,12.14,2.5482865756996276,19.529921254960318,17.00575,16.806383928571428,21.41472842261905,23.15875,19.738558673469388,2.531841739453528,69.96639511548887,2.6312584459459463,14.43
2007,3,中區,613.8,25.575,17.80388941385757,68.39999999999999,0.8,67.6,1.6096275895829193,28.1,12.21,13.52,1.3986965557892495,18.89592427248677,17.659857142857142,17.751160714285717,20.35358134920635,20.667470238095238,18.587721088435377,1.3276266168559097,81.62990671017404,3.036622023809523,12.28
2007,3,北區,759.2,31.633333333333336,17.421193157028387,64.60000000000001,4.400000000000001,60.20000000000001,1.353875704180138,27.62,13.77,11.560000000000002,0.9688897705899389,18.106044146825397,17.291047619047617,17.25657738095238,19.295729166666668,19.29952380952381,17.811785714285715,0.9543125620587903,82.30517480636833,3.200860585197935,11.39
2007,3,南區,396.20000000000005,16.508333333333336,14.01899074289142,40.6,1.0,39.6,1.6230023629675026,27.42,16.0,10.630000000000003,1.529016816547896,19.08901344797178,17.744920634920632,17.834126984126986,20.47181878306878,21.34043650793651,18.689455782312926,1.5168343043422934,82.52490623399898,2.375880803038061,7.19
2007,3,台北區,1980.8,82.53333333333333,29.511805547385045,153.70000000000002,44.900000000000006,108.80000000000001,1.479110541742054,27.41,2.34,10.77,0.9668416108469625,17.94090700483092,17.148320910973087,17.008690476190477,18.94298007246377,19.242558229813664,17.72332120674357,0.9423006735184959,82.39655605242463,2.1228344671201813,10.39
2007,3,東區,75.2,3.1333333333333333,2.9332674564407686,12.200000000000001,0.0,12.200000000000001,1.5720159259860293,25.82,14.32,11.239999999999998,1.4236027487492102,20.7347123015873,19.34314285714286,19.188333333333333,22.225059523809524,22.48107142857143,20.76278911564626,1.4106373776402406,79.67629662698413,1.9014484126984126,4.75
2007,3,高屏區,137.4,5.7250000000000005,7.06929982388638,28.600000000000005,0.2,28.400000000000006,1.9309357746547395,29.58,14.75,10.93,1.8300696132859093,21.277183407738097,19.589507142857144,19.445473214285713,22.88189285714286,23.925931919642856,21.098810586734693,1.8122357014348234,78.10260880594942,2.6989158673894913,13.71
2007,4,中區,33.800000000000004,1.4083333333333334,1.7529891655377547,5.800000000000001,0.0,5.800000000000001,1.8284993583563391,25.3,7.84,11.23,1.5806066115647637,16.182707506613756,15.316833333333335,14.88452380952381,17.935099206349207,18.341314484126983,15.30815192743764,1.5433953967296083,70.09553870242877,3.985955787435456,15.99
2007,4,北區,42.6,1.7750000000000001,1.9058833396480035,8.4,0.0,8.4,1.537229580489627,24.45,6.5,12.35,1.070939657442555,15.144486607142857,14.463400793650795,14.394444444444444,16.752812499999997,16.20347222222222,14.535393990929705,1.0509789139871082,69.16487426914394,3.9492184067279577,13.04
2007,4,南區,8.0,0.3333333333333333,0.4815434123430768,1.9999999999999998,0.0,1.9999999999999998,1.8421497460234117,24.55,9.44,9.74,1.7043745214090797,16.577517636684302,15.545777777777777,15.315,18.04146825396825,19.275423280423283,15.657709750566895,1.691228292441663,72.28383117852876,3.039908367468851,10.13
2007,4,台北區,211.79999999999998,8.825,5.160910772334666,23.300000000000004,3.0000000000000004,20.300000000000004,1.4293420783379074,26.5,2.75,12.309999999999999,1.0034846879147368,15.164371074879227,14.563906832298136,14.593858695652175,16.6170533126294,16.125376552795032,14.540031055900618,0.9574529055893723,69.30784910773811,2.6346995464852605,13.04
2007,4,東區,16.8,0.7000000000000001,0.7934514587492447,2.8,0.0,2.8,1.9703252927289803,27.35,12.45,12.97,1.4725287352814824,18.967599206349206,17.722285714285714,17.444761904761904,20.601071428571426,20.829642857142854,18.729863945578234,1.4601782244604713,66.92930555555556,2.649404761904762,6.03
2007,4,高屏區,28.400000000000002,1.1833333333333333,1.3040627707840322,4.6,0.0,4.6,1.99698687527507,27.35,11.41,10.46,1.8626354234040654,18.426257936507934,17.01225,16.679180803571427,19.594534970238094,21.383229166666666,18.07730867346939,1.8341058901174292,72.26075623241358,3.056210651557794,13.98
2007,5,中區,4.2,0.17500000000000002,0.35539322985404065,1.4,0.0,1.4,3.3498285883295917,23.96,5.21,14.61,3.284343424838207,14.100976355820107,10.875214285714287,10.544494047619049,17.16181547619048,18.46267361111111,14.195918367346938,3.262409694863642,60.86360966951429,2.792828456683878,15.34
2007,5,北區,0.0,0.0,0.0,0.0,0.0,0.0,2.926437814216435,24.19,5.61,14.159999999999998,2.7604514704420495,13.670283564814815,10.698166666666667,10.886994047619048,16.464682539682535,17.126661706349207,13.811802721088437,2.7452548709975675,58.615940543533014,2.852274389369324,10.72
2007,5,南區,3.0,0.125,0.57123055575318,2.8,0.0,2.8,3.5126903301920924,23.34,6.92,14.209999999999999,3.437752548386403,14.780476190476188,11.499804232804232,11.084272486772488,17.606507936507935,19.697341269841267,14.811417233560089,3.427002982081047,63.71397166752005,2.1203242874210617,8.12
2007,5,台北區,0.4,0.016666666666666666,0.056465970257327996,0.2,0.0,0.2,2.836844836593885,24.55,3.0,14.690000000000001,2.6984790842709545,14.005777605244996,11.107306418219462,11.344267598343686,16.696831780538304,17.456376811594204,14.08746081041112,2.6634915785348094,61.69976613894318,1.999975557574628,11.95
2007,5,東區,1.4,0.05833333333333333,0.2465706824609839,1.2,0.0,1.2,2.555305904624899,22.91,8.96,12.369999999999997,2.470556712617143,16.602797619047617,14.22809523809524,13.649880952380952,19.11595238095238,19.486309523809524,16.902585034013605,2.458100016249267,58.693551587301585,2.198809523809524,5.6
2007,5,高屏區,4.800000000000001,0.20000000000000004,0.42117847089782035,1.6,0.0,1.6,3.2961215151296326,24.98,8.48,13.690000000000001,3.234416551017922,17.08810515873016,13.810785714285714,13.5584375,19.71735119047619,21.531413690476192,17.40454081632653,3.223696923640212,58.045015517749896,2.3787044522200773,12.65
2007,6,中區,19.0,0.7916666666666666,1.3862419221285536,5.2,0.0,5.2,3.1973054191254113,30.7,10.73,14.920000000000002,3.0051919709497312,19.653883928571428,16.836761904761904,16.6591369047619,22.38919642857143,23.935476190476187,19.367738095238092,2.9815597831134673,68.35381944444445,2.1593650793650796,11.15
2007,6,北區,5.6000000000000005,0.23333333333333336,0.6894652412127675,3.4000000000000004,0.0,3.4000000000000004,2.260165253970864,29.28,11.26,13.96,1.8276600760962765,17.712381613756616,16.04510714285714,15.80175496031746,19.836383928571433,19.847385912698414,17.56136054421769,1.7780819723463126,74.01671038392827,2.039026830317787,9.37
2007,6,南區,57.0,2.375,3.3644238475684,11.2,0.0,11.2,3.197258653538779,28.66,13.19,14.129999999999999,3.035593672185184,20.481072530864196,17.65977777777778,17.347579365079365,22.74337962962963,25.070357142857137,20.371655328798187,3.0215739666621078,70.66402852449222,1.786135325994197,7.25
2007,6,台北區,35.0,1.4583333333333333,2.280716261762227,10.4,0.0,10.4,2.358367052117941,29.42,7.72,14.41,2.0055290055046524,18.56593124568668,16.865006211180127,16.570124223602484,20.94880434782609,20.939671325051762,18.20327417923691,1.9493703945706409,71.98450899977216,1.631891579691237,7.4
